Date,Close/Last,Volume,Open,High,Low
08/25/2020, $499.3, 52873950, $498.79, $500.7172, $492.21
08/24/2020, $503.43, 86484440, $514.79, $515.14, $495.745
08/21/2020, $497.48, 84513660, $477.05, $499.472, $477
08/20/2020, $473.1, 31726800, $463, $473.568, $462.9335
08/19/2020, $462.83, 36384500, $463.933, $468.65, $462.44
08/18/2020, $462.25, 26408390, $457.41, $464, $456.03
08/17/2020, $458.43, 29890360, $464.25, $464.35, $455.8501
08/14/2020, $459.63, 41391300, $459.315, $460, $452.18
08/13/2020, $460.04, 52520520, $457.72, $464.17, $455.71
08/12/2020, $452.04, 41486210, $441.99, $453.1, $441.19
08/11/2020, $437.5, 46975590, $447.875, $449.93, $436.4267
08/10/2020, $450.91, 53100860, $450.4, $455.1, $440
08/07/2020, $444.45, 49511400, $452.82, $454.7, $441.17
08/06/2020, $455.61, 50607230, $441.62, $457.65, $439.19
08/05/2020, $440.25, 30497990, $437.51, $441.57, $435.59
08/04/2020, $438.66, 43198090, $436.53, $443.16, $433.55
08/03/2020, $435.75, 77037850, $432.8, $446.5457, $431.57
07/31/2020, $425.04, 93573870, $411.535, $425.66, $403.3
07/30/2020, $384.76, 39532510, $376.75, $385.19, $375.07
07/29/2020, $380.16, 22582310, $375, $380.92, $374.85
07/28/2020, $373.01, 25906380, $377.47, $378.1986, $372.99
07/27/2020, $379.24, 30303550, $374.84, $379.62, $373.92
07/24/2020, $370.46, 46359720, $363.95, $371.88, $356.58
07/23/2020, $371.38, 49251110, $387.994, $388.31, $368.039
07/22/2020, $389.09, 22250410, $386.77, $391.9, $386.41
07/21/2020, $388, 25911460, $396.69, $397, $386.97
07/20/2020, $393.43, 22579480, $385.665, $394, $384.25
07/17/2020, $385.31, 23046730, $387.95, $388.59, $383.36
07/16/2020, $386.09, 27644420, $386.25, $389.62, $383.62
07/15/2020, $390.9, 38299480, $395.96, $396.99, $385.96
07/14/2020, $388.23, 42747340, $379.36, $389.02, $375.51
07/13/2020, $381.91, 47912290, $389.06, $399.82, $381.03
07/10/2020, $383.68, 22564330, $381.34, $383.92, $378.8207
07/09/2020, $382.73, 31410650, $385.05, $385.27, $378.69
07/08/2020, $381.37, 29272970, $376.72, $381.5, $376.36
07/07/2020, $372.69, 28106110, $375.41, $378.62, $372.23
07/06/2020, $373.85, 29663910, $370, $375.78, $369.87
07/02/2020, $364.11, 28510370, $367.85, $370.47, $363.64
07/01/2020, $364.11, 27684310, $365.12, $367.36, $363.91
06/30/2020, $364.8, 35055820, $360.08, $365.98, $360
06/29/2020, $361.78, 32661520, $353.25, $362.1736, $351.28
06/26/2020, $353.63, 51314210, $364.41, $365.32, $353.02
06/25/2020, $364.84, 34380630, $360.7, $365, $357.57
