Year,Revenue
2005, 8490
2006, 10711
2007, 14835
2008, 19166
2009, 24509
2010, 34204
2011, 48077
2012, 61093
2013, 74452
2014, 88988
2015, 107006
2016, 135987
2017, 177866
2018, 232887
2019, 280522
