APPL_revenue(in millions of USD)
2007, 24578
2008, 37491
2009, 42905
2010, 65225
2011, 108249
2012, 156508
2013, 170910
2014, 182795
2015, 233715
2016, 215639
2017, 229234
2018, 265595
2019, 260174
